Region,Province
Central,Central
Kiambu,Central
Kirinyaga,Central
Murang'a,Central
Nyandarua,Central
Nyeri,Central
Coast,Coast
Kilifi,Coast
Kwale,Coast
Lamu,Coast
Mombasa,Coast
Tana River,Coast
Taita Taveta,Coast
Embu,Eastern
Isiolo,Eastern
Kitui,Eastern
Machakos,Eastern
Makueni,Eastern
Marsabit,Eastern
Meru,Eastern
Tharaka-Nithi,Eastern
Eastern,Eastern
Nairobi,Nairobi
Garissa,North Eastern
Mandera,North Eastern
Wajir,North Eastern
North Eastern,North Eastern
Homa Bay,Nyanza
Kisii,Nyanza
Kisumu,Nyanza
Migori,Nyanza
Nyamira,Nyanza
Siaya,Nyanza
Nyanza,Nyanza
Baringo,Rift Valley
Bomet,Rift Valley
Elgeyo Marakwet,Rift Valley
Kajiado,Rift Valley
Kericho,Rift Valley
Laikipia,Rift Valley
Nakuru,Rift Valley
Nandi,Rift Valley
Narok,Rift Valley
Samburur,Rift Valley
Trans-Nzoia,Rift Valley
Turkana,Rift Valley
West Pokot,Rift Valley
Uasin Gishu,Rift Valley
Rift Valley,Rift Valley
Western,Western
Bungoma,Western
Busia,Western
Kakamega,Western
Vihiga,Western
